StatusId,StatusName
200,POISON
201,SILENCE
202,PARALYSIS
203,CONFUSION
204,HASTE
205,SLOW
206,STOP
207,PROTECT
208,SHELL
209,REFLECTION
210,BLINDED
211,SLEEP
212,PETRIFACTION
213,SET_DOOM_60
214,INSTANT_DEATH
215,BERSERKER
216,REGEN
218,LEVITATE
219,WEAKENED
220,ZOMBIE
221,MINIMUM
222,TOAD
223,CURSE
224,GRADUAL_PETRIFACTION
225,BLINK
226,WATER_IMP
227,VANISH
228,PORKY
229,SAP
231,PYRAMID
232,PRISON_CAGE
233,WATER_BALL
234,POSSESSION
235,STOCK_BREAK
236,SET_DOOM_30
237,SET_DOOM_45
238,SET_DOOM_90
239,SET_DOOM_120
240,TRIPLE
241,SWALLOWED
242,STAN
243,REGEN_STRONG
244,ARM_CATCH
245,REFLECTION_FULL_TIME
246,MAGICAL_MINE
247,REGEN_MIDDLE
248,CHANGE_CAST_TIME
249,RERAISE_40
250,RERAISE_60
251,RERAISE_80
252,RERAISE_100
253,RERAISE_DEATH
255,TARGET_BUDDY
256,SET_DOOM_45_DEPRECATED
257,ZERO_FLIGHT_BY_TURN_2
258,ZERO_FLIGHT_BY_TURN_3
259,HP_STOCK
260,RADIANT_SHIELD
261,GUTS_1
262,GREASED_LIGHTNING_1
263,GREASED_LIGHTNING_2
264,GREASED_LIGHTNING_3
265,DAMAGE_BARRIER_30
266,SUMMONING
267,CHANGE_CRITICAL_COEFFICIENT
268,THUNDER_GOD_MODE
269,WILD_MODE
270,BLACK_DRAGON_SUMMONING
271,STATUS_AILMENTS_BARRIER
272,PROTECT_FULL_TIME
273,REGEN_FULL_TIME
274,INCREASE_EXECUTED_HEAL_BY_EXERCISE_TYPE_WHITE_MAGIC_LARGE_TIME_10000
275,PARAM_BOOST_UNTIL_POSITIVE_DAMAGE_EXECUTION
276,BUSTER_SWORD_MODE
277,TINA_TRANCE_MODE
278,ZIDANE_TRANCE_MODE
279,SHANTOTTO_PLAYING_ROUGH_MODE
280,MIRAGE_AND_MIGHTY_GUARD_2
282,INCREASE_EXECUTED_DAMAGE_BY_ABILITY_SPELLBLADE_SMALL_TURN_2
283,STEINER_TRANCE_MODE
284,VIVI_TRANCE_MODE
285,MIRAGE_AND_MIGHTY_GUARD_1
286,VAAN_SKY_PIRATES_MODE
287,VINCENT_TRANCE_MODE
288,ACTIVATE_SUMMONING
289,EX_MODE_TIME_LESS
290,MIRAGE_INCREASING_LIMIT_2
291,LOCK_PHOENIX_MODE
293,INCREASE_EXECUTED_DAMAGE_BY_ABILITY_KNIGHT_SMALL_TURN_2
294,EX_MODE_SPELL_BLADE_BARRAGE
295,ABANDONING_PAST
296,RANDOM_JOKER
297,RAGE_YELLOW_CHERRY
501,MATK_BOOSTER
502,PROVOKE
503,CHARGE
505,INVISIBLE
506,DEFENSE
507,DISABLE
508,COUNTER_AIMING
509,RUNIC
510,AIRFORCE_SPECK
511,FORCE_ESCAPE
512,BASIC_MAGIC_BREAKER
513,RAID
514,LOCK_ON
515,OVER_DRIVE
516,ROAR
517,MAGIC_SEAL
518,MIRAGE_1
519,MIRAGE_2
520,MIRAGE_3
521,NON_DAMAGE
522,CHARM
523,MIGHTY_GUARD_1
524,SUCTION
525,FURY
526,INDOMITABLENESS
527,MAGIC_CHARM
528,CUSTOM_PARAM_MULTI_MATK_20_MDEF_50
529,RAGE
531,GRAND_CROSS
532,BURST_MODE
533,FLIGHT_SEAL
534,EYE_POWER_CHARM
535,ATTACH_ELEMENT_AS_DISADVANTAGE
536,EXTREME_EVRAE_ALTANA
537,EXTREME_EVRAE_ALTANA_ZAKO
538,ANTI_FARAWAY_LIMITED
539,EXTREME_BAHAMUT
540,ABYSS_TONBERRY_SLOW
541,ABYSS_TONBERRY_STAN
542,ABYSS_TONBERRY_STOP
543,ATTACH_ELEMENT_FIRE_FOR_AI
544,ATTACH_ELEMENT_ICE_FOR_AI
545,ATTACH_ELEMENT_LIGHTNING_FOR_AI
546,ATTACH_ELEMENT_WATER_FOR_AI
547,ATTACH_ELEMENT_EARTH_FOR_AI
548,ATTACH_ELEMENT_POISON_FOR_AI
549,ABYSS_WAVE_CANNON_LOCK_ON_1
550,ABYSS_WAVE_CANNON_LOCK_ON_2
551,ABYSS_WAVE_CANNON_LOCK_ON_3
552,ABYSS_NEKURO_DOOM_ATK
553,ABYSS_NEKURO_DOOM_MATK
554,ABYSS_NEKURO_DOOM_DEF
555,ABYSS_NEKURO_DOOM_MDEF
556,USED_ABILITY_COUNTER_WEAPON_MASTER
557,SWALLOWED_GEOSGAENO
558,ADJUST_DAMAGE_FOR_AI
559,ADJUST_DAMAGE_ZERO_ALL
560,USED_ABILITY_COUNTER_FLAME_CANNON
561,USED_ABILITY_COUNTER_TORAIN_COMBO
562,ADJUST_DAMAGE_ZERO_PHYSICAL
563,ADJUST_DAMAGE_ZERO_MAGIC
564,DOOM_DECREASE_COUNT_3
567,USED_ABILITY_COUNTER_THUNDER_FALL
568,USED_ABILITY_COUNTER_CHARGE
569,USED_ABILITY_COUNTER_RADIANT_SHIELD
570,ATTACH_ELEMENT_WIND_FOR_AI
571,ATTACH_ELEMENT_HOLY_FOR_AI
572,ATTACH_ELEMENT_DARK_FOR_AI
573,USED_ABILITY_COUNTER_JUNCTION
574,PROVOKE_AND_MDEF_200
575,PARAM_BOOST_AND_CHANGE_CAST_TIME_FOR_PHANTOM_SWORD
576,ATK_BOOST_FOR_LEGENDARY_SWORDSMAN
577,COUNTER_AIMING_STRONG_FOR_LEGENDARY_SWORDSMAN
